Lower tier local authorities Code,Lower tier local authorities,Household composition (37 categories) Code,Household composition (37 categories),Observation
E09000031,Waltham Forest,17,Single family household: Same-sex civil partnership couple family: With one dependent child,12
E09000031,Waltham Forest,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,8
E09000031,Waltham Forest,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,3
E09000031,Waltham Forest,20,Single family household: Opposite-sex cohabiting couple family: No children,7103
E09000031,Waltham Forest,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2314
E09000031,Waltham Forest,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1932
E09000031,Waltham Forest,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,620
E09000031,Waltham Forest,24,Single family household: Same-sex cohabiting couple family: No children,790
E09000031,Waltham Forest,25,Single family household: Same-sex cohabiting couple family: With one dependent child,60
E09000031,Waltham Forest,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,35
E09000031,Waltham Forest,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,20
E09000031,Waltham Forest,28,Single family household: Lone parent family: With one dependent child,4433
E09000031,Waltham Forest,29,Single family household: Lone parent family: With two or more dependent children,4103
E09000031,Waltham Forest,30,Single family household: Lone parent family: All children non-dependent,6169
E09000031,Waltham Forest,31,Other household types: Other related household: Other family composition,1722
E09000031,Waltham Forest,32,Other household types: With one dependent child,2963
E09000031,Waltham Forest,33,Other household types: With two or more dependent children,3422
E09000031,Waltham Forest,34,Other household types: All in full-time education,75
E09000031,Waltham Forest,35,Other household types: All aged 66 years and over,61
E09000031,Waltham Forest,36,Other household types: Other family composition,7666
E09000032,Wandsworth,-8,Does not apply,0
E09000032,Wandsworth,1,One-person household: Aged 66 years and over,10880
E09000032,Wandsworth,2,One-person household: Other,30252
E09000032,Wandsworth,3,Single family household: All aged 66 years and over,3838
E09000032,Wandsworth,4,Single family household: Opposite-sex married couple family: No children,9958
E09000032,Wandsworth,5,Single family household: Opposite-sex married couple family: With one dependent child,7649
E09000032,Wandsworth,6,Single family household: Opposite-sex married couple family: With two or more dependent children,11692
E09000032,Wandsworth,7,Single family household: Opposite-sex married couple family: All children non-dependent,4405
E09000032,Wandsworth,8,Single family household: Same-sex married couple family: No children,410
E09000032,Wandsworth,9,Single family household: Same-sex married couple family: With one dependent child,20
E09000032,Wandsworth,10,Single family household: Same-sex married couple family: With two or more dependent children,20
E09000032,Wandsworth,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000032,Wandsworth,12,Single family household: Opposite-sex civil partnership couple family: No children,56
E09000032,Wandsworth,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,52
E09000032,Wandsworth,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,20
E09000032,Wandsworth,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,5
E09000032,Wandsworth,16,Single family household: Same-sex civil partnership couple family: No children,272
E09000032,Wandsworth,17,Single family household: Same-sex civil partnership couple family: With one dependent child,7
E09000032,Wandsworth,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,8
E09000032,Wandsworth,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,1
E09000032,Wandsworth,20,Single family household: Opposite-sex cohabiting couple family: No children,14526
E09000032,Wandsworth,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1757
E09000032,Wandsworth,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1272
E09000032,Wandsworth,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,399
E09000032,Wandsworth,24,Single family household: Same-sex cohabiting couple family: No children,1101
E09000032,Wandsworth,25,Single family household: Same-sex cohabiting couple family: With one dependent child,27
E09000032,Wandsworth,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,23
E09000032,Wandsworth,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,14
E09000032,Wandsworth,28,Single family household: Lone parent family: With one dependent child,4272
E09000032,Wandsworth,29,Single family household: Lone parent family: With two or more dependent children,4005
E09000032,Wandsworth,30,Single family household: Lone parent family: All children non-dependent,5764
E09000032,Wandsworth,31,Other household types: Other related household: Other family composition,2773
E09000032,Wandsworth,32,Other household types: With one dependent child,1579
E09000032,Wandsworth,33,Other household types: With two or more dependent children,1858
E09000032,Wandsworth,34,Other household types: All in full-time education,619
E09000032,Wandsworth,35,Other household types: All aged 66 years and over,127
E09000032,Wandsworth,36,Other household types: Other family composition,17734
E09000033,Westminster,-8,Does not apply,0
E09000033,Westminster,1,One-person household: Aged 66 years and over,9498
E09000033,Westminster,2,One-person household: Other,30945
E09000033,Westminster,3,Single family household: All aged 66 years and over,2772
E09000033,Westminster,4,Single family household: Opposite-sex married couple family: No children,6917
E09000033,Westminster,5,Single family household: Opposite-sex married couple family: With one dependent child,4179
E09000033,Westminster,6,Single family household: Opposite-sex married couple family: With two or more dependent children,5190
E09000033,Westminster,7,Single family household: Opposite-sex married couple family: All children non-dependent,2771
E09000033,Westminster,8,Single family household: Same-sex married couple family: No children,308
E09000033,Westminster,9,Single family household: Same-sex married couple family: With one dependent child,5
E09000033,Westminster,10,Single family household: Same-sex married couple family: With two or more dependent children,15
E09000033,Westminster,11,Single family household: Same-sex married couple family: All children non-dependent,3
E09000033,Westminster,12,Single family household: Opposite-sex civil partnership couple family: No children,53
E09000033,Westminster,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,15
E09000033,Westminster,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,11
E09000033,Westminster,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,1
E09000033,Westminster,16,Single family household: Same-sex civil partnership couple family: No children,203
E09000033,Westminster,17,Single family household: Same-sex civil partnership couple family: With one dependent child,1
E09000033,Westminster,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,3
E09000033,Westminster,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000033,Westminster,20,Single family household: Opposite-sex cohabiting couple family: No children,6237
E09000033,Westminster,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,749
E09000033,Westminster,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,484
E09000033,Westminster,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,289
E09000033,Westminster,24,Single family household: Same-sex cohabiting couple family: No children,766
E09000033,Westminster,25,Single family household: Same-sex cohabiting couple family: With one dependent child,12
E09000033,Westminster,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,11
E09000033,Westminster,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,13
E09000033,Westminster,28,Single family household: Lone parent family: With one dependent child,2747
E09000033,Westminster,29,Single family household: Lone parent family: With two or more dependent children,2268
E09000033,Westminster,30,Single family household: Lone parent family: All children non-dependent,4683
E09000033,Westminster,31,Other household types: Other related household: Other family composition,2556
E09000033,Westminster,32,Other household types: With one dependent child,1134
E09000033,Westminster,33,Other household types: With two or more dependent children,1254
E09000033,Westminster,34,Other household types: All in full-time education,1190
E09000033,Westminster,35,Other household types: All aged 66 years and over,107
E09000033,Westminster,36,Other household types: Other family composition,7427
